time, accel 1
time - seconds (computed after test), deacceleration - kg
0.00E+00,2.47E-02
4.00E-05,3.34E-02
8.00E-05,3.78E-02
1.20E-04,2.99E-02
1.60E-04,5.15E-03
2.00E-04,-3.13E-02
2.40E-04,-5.65E-02
2.80E-04,-6.13E-02
3.20E-04,-5.41E-02
3.60E-04,-3.19E-02
4.00E-04,3.41E-04
4.40E-04,3.02E-02
4.80E-04,6.11E-02
5.20E-04,7.26E-02
5.60E-04,6.61E-02
6.00E-04,3.27E-02
6.40E-04,-9.90E-03
6.80E-04,-4.15E-02
7.20E-04,-6.21E-02
7.60E-04,-6.24E-02
8.00E-04,-4.42E-02
8.40E-04,-1.44E-02
8.80E-04,1.40E-02
9.20E-04,3.91E-02
9.60E-04,5.53E-02
1.00E-03,4.84E-02
1.04E-03,1.93E-02
1.08E-03,-1.16E-02
1.12E-03,-3.59E-02
1.16E-03,-5.01E-02
1.20E-03,-4.62E-02
1.24E-03,-2.89E-02
1.28E-03,-4.51E-03
1.32E-03,2.05E-02
1.36E-03,4.42E-02
1.40E-03,5.87E-02
1.44E-03,5.32E-02
1.48E-03,3.04E-02
1.52E-03,2.91E-03
1.56E-03,-2.13E-02
1.60E-03,-3.60E-02
1.64E-03,-3.76E-02
1.68E-03,-3.17E-02
1.72E-03,-2.39E-02
1.76E-03,-1.17E-02
1.80E-03,6.28E-03
1.84E-03,2.23E-02
1.88E-03,2.19E-02
1.92E-03,1.45E-02
1.96E-03,5.39E-03
2.00E-03,-8.98E-04
2.04E-03,2.26E-03
2.08E-03,1.22E-02
2.12E-03,1.65E-02
2.16E-03,1.48E-02
2.20E-03,1.27E-02
2.24E-03,9.17E-03
2.28E-03,-3.14E-03
2.32E-03,-2.35E-02
2.36E-03,-3.78E-02
2.40E-03,-4.75E-02
2.44E-03,-4.27E-02
2.48E-03,-2.07E-02
2.52E-03,1.31E-02
2.56E-03,4.58E-02
2.60E-03,6.94E-02
2.64E-03,7.37E-02
2.68E-03,5.39E-02
2.72E-03,1.98E-02
2.76E-03,-1.91E-02
2.80E-03,-5.33E-02
2.84E-03,-7.53E-02
2.88E-03,-8.89E-02
2.92E-03,-7.09E-02
2.96E-03,-2.84E-02
3.00E-03,1.15E-02
3.04E-03,5.28E-02
3.08E-03,8.53E-02
3.12E-03,7.63E-02
3.16E-03,5.21E-02
3.20E-03,2.40E-02
3.24E-03,-4.51E-03
3.28E-03,-3.89E-02
3.32E-03,-5.76E-02
3.36E-03,-5.21E-02
3.40E-03,-3.43E-02
3.44E-03,-1.28E-02
3.48E-03,1.14E-02
3.52E-03,2.25E-02
3.56E-03,2.37E-02
3.60E-03,1.44E-02
3.64E-03,5.58E-03
3.68E-03,5.95E-05
3.72E-03,-1.14E-02
3.76E-03,-1.15E-02
3.80E-03,-3.21E-03
3.84E-03,2.58E-03
3.88E-03,5.41E-03
3.92E-03,9.67E-03
3.96E-03,1.22E-02
4.00E-03,6.45E-04
4.04E-03,-1.08E-02
4.08E-03,-8.80E-03
4.12E-03,-1.02E-02
4.16E-03,-1.55E-02
4.20E-03,-8.48E-03
4.24E-03,3.93E-03
4.28E-03,1.14E-02
4.32E-03,1.76E-02
4.36E-03,2.30E-02
4.40E-03,1.75E-02
4.44E-03,-4.48E-04
4.48E-03,-1.65E-02
4.52E-03,-2.34E-02
4.56E-03,-2.54E-02
4.60E-03,-2.46E-02
4.64E-03,-7.42E-03
4.68E-03,1.51E-02
4.72E-03,2.94E-02
4.76E-03,4.10E-02
4.80E-03,4.59E-02
4.84E-03,2.93E-02
4.88E-03,-6.38E-03
4.92E-03,-3.88E-02
4.96E-03,-5.59E-02
5.00E-03,-6.38E-02
5.04E-03,-5.32E-02
5.08E-03,-2.04E-02
5.12E-03,1.86E-02
5.16E-03,5.25E-02
5.20E-03,8.30E-02
5.24E-03,9.05E-02
5.28E-03,6.36E-02
5.32E-03,1.97E-02
5.36E-03,-2.06E-02
5.40E-03,-5.40E-02
5.44E-03,-7.54E-02
5.48E-03,-6.72E-02
5.52E-03,-6.31E-02
5.56E-03,-2.37E-02
5.60E-03,2.98E-03
5.64E-03,4.33E-02
5.68E-03,6.26E-02
5.72E-03,5.63E-02
5.76E-03,3.57E-02
5.80E-03,1.43E-02
5.84E-03,-9.53E-04
5.88E-03,-1.58E-02
5.92E-03,-2.56E-02
5.96E-03,-2.65E-02
6.00E-03,-1.85E-02
6.04E-03,-7.93E-03
6.08E-03,1.37E-03
6.12E-03,3.09E-03
6.16E-03,-7.09E-03
6.20E-03,-1.98E-02
6.24E-03,-1.62E-02
6.28E-03,-9.40E-03
6.32E-03,-2.53E-03
6.36E-03,1.79E-02
6.40E-03,2.70E-02
6.44E-03,3.44E-02
6.48E-03,3.38E-02
6.52E-03,2.46E-02
6.56E-03,1.14E-03
6.60E-03,-3.32E-02
6.64E-03,-5.57E-02
6.68E-03,-5.97E-02
6.72E-03,-5.31E-02
6.76E-03,-3.29E-02
6.80E-03,5.27E-04
6.84E-03,3.30E-02
6.88E-03,6.27E-02
6.92E-03,7.18E-02
6.96E-03,6.47E-02
7.00E-03,3.31E-02
7.04E-03,-9.45E-03
7.08E-03,-3.90E-02
7.12E-03,-5.84E-02
7.16E-03,-6.14E-02
7.20E-03,-4.58E-02
7.24E-03,-1.56E-02
7.28E-03,1.43E-02
7.32E-03,3.99E-02
7.36E-03,5.58E-02
7.40E-03,4.90E-02
7.44E-03,2.02E-02
7.48E-03,-1.15E-02
7.52E-03,-3.47E-02
7.56E-03,-4.81E-02
7.60E-03,-4.71E-02
7.64E-03,-3.22E-02
7.68E-03,-7.13E-03
7.72E-03,1.93E-02
7.76E-03,4.46E-02
7.80E-03,5.94E-02
7.84E-03,5.33E-02
7.88E-03,3.01E-02
7.92E-03,3.64E-03
7.96E-03,-1.88E-02
8.00E-03,-3.38E-02
8.04E-03,-3.69E-02
8.08E-03,-3.20E-02
8.12E-03,-2.43E-02
8.16E-03,-1.15E-02
8.20E-03,6.85E-03
8.24E-03,2.18E-02
8.28E-03,2.16E-02
8.32E-03,1.28E-02
8.36E-03,3.38E-03
8.40E-03,-2.31E-03
8.44E-03,8.89E-04
8.48E-03,1.08E-02
8.52E-03,1.58E-02
8.56E-03,1.37E-02
8.60E-03,1.23E-02
8.64E-03,9.28E-03
8.68E-03,-3.24E-03
8.72E-03,-2.28E-02
8.76E-03,-3.80E-02
8.80E-03,-4.76E-02
8.84E-03,-4.23E-02
8.88E-03,-2.07E-02
8.92E-03,1.42E-02
8.96E-03,4.68E-02
9.00E-03,7.05E-02
9.04E-03,7.49E-02
9.08E-03,5.46E-02
9.12E-03,2.10E-02
9.16E-03,-1.78E-02
9.20E-03,-5.31E-02
9.24E-03,-7.50E-02
9.28E-03,-8.83E-02
9.32E-03,-7.39E-02
9.36E-03,-2.67E-02
9.40E-03,7.22E-03
9.44E-03,5.39E-02
9.48E-03,8.33E-02
9.52E-03,7.29E-02
9.56E-03,5.24E-02
9.60E-03,2.39E-02
9.64E-03,-4.55E-03
9.68E-03,-3.77E-02
9.72E-03,-5.55E-02
9.76E-03,-5.09E-02
9.80E-03,-3.43E-02
9.84E-03,-1.20E-02
9.88E-03,1.35E-02
9.92E-03,2.51E-02
9.96E-03,2.54E-02
1.00E-02,1.39E-02
1.00E-02,5.89E-03
1.01E-02,2.85E-03
1.01E-02,-9.71E-03
1.02E-02,-1.00E-02
1.02E-02,-4.52E-03
1.02E-02,2.16E-03
1.03E-02,5.99E-03
1.03E-02,9.92E-03
1.04E-02,1.40E-02
1.04E-02,-1.64E-04
1.04E-02,-1.33E-02
1.05E-02,-1.13E-02
1.05E-02,-1.12E-02
1.06E-02,-1.53E-02
1.06E-02,-9.49E-03
1.06E-02,1.91E-03
1.07E-02,1.16E-02
1.07E-02,1.90E-02
1.08E-02,2.50E-02
1.08E-02,1.90E-02
1.08E-02,-1.05E-04
1.09E-02,-1.58E-02
1.09E-02,-2.31E-02
1.10E-02,-2.37E-02
1.10E-02,-2.12E-02
1.10E-02,-6.48E-03
1.11E-02,1.56E-02
1.11E-02,2.94E-02
1.12E-02,4.12E-02
1.12E-02,4.62E-02
1.12E-02,2.74E-02
1.13E-02,-8.73E-03
1.13E-02,-4.01E-02
1.14E-02,-5.72E-02
1.14E-02,-6.38E-02
1.14E-02,-5.40E-02
1.15E-02,-2.17E-02
1.15E-02,1.67E-02
1.16E-02,4.96E-02
1.16E-02,8.15E-02
1.16E-02,8.84E-02
1.17E-02,6.24E-02
1.17E-02,2.05E-02
1.18E-02,-1.98E-02
1.18E-02,-5.31E-02
1.18E-02,-7.35E-02
1.19E-02,-7.19E-02
1.19E-02,-6.38E-02
1.20E-02,-2.24E-02
1.20E-02,2.59E-03
1.20E-02,4.24E-02
1.21E-02,6.75E-02
1.21E-02,5.37E-02
1.22E-02,3.20E-02
1.22E-02,1.68E-02
1.22E-02,3.42E-03
1.23E-02,-1.37E-02
1.23E-02,-2.71E-02
1.24E-02,-2.45E-02
1.24E-02,-1.58E-02
1.24E-02,-6.11E-03
1.25E-02,5.16E-03
1.25E-02,7.54E-03
1.26E-02,-5.19E-03
1.26E-02,-2.14E-02
1.26E-02,-2.19E-02
1.27E-02,-6.37E-03
1.27E-02,1.71E-03
1.28E-02,1.75E-02
1.28E-02,3.01E-02
1.28E-02,3.60E-02
1.29E-02,3.55E-02
1.29E-02,2.63E-02
1.30E-02,3.35E-03
1.30E-02,-3.15E-02
1.30E-02,-5.79E-02
1.31E-02,-6.03E-02
1.31E-02,-5.28E-02
1.32E-02,-3.20E-02
1.32E-02,2.98E-03
1.32E-02,3.22E-02
1.33E-02,6.14E-02
1.33E-02,7.10E-02
1.34E-02,6.38E-02
1.34E-02,3.26E-02
1.34E-02,-7.32E-03
1.35E-02,-4.03E-02
1.35E-02,-5.90E-02
1.36E-02,-5.95E-02
1.36E-02,-4.52E-02
1.36E-02,-1.59E-02
1.37E-02,1.47E-02
1.37E-02,3.90E-02
1.38E-02,5.24E-02
1.38E-02,4.83E-02
1.38E-02,2.16E-02
1.39E-02,-1.13E-02
1.39E-02,-3.68E-02
1.40E-02,-4.85E-02
1.40E-02,-4.74E-02
1.40E-02,-3.36E-02
